UNIQUE_KEY,PRODUCT_TITLE,STYLE#,CATEGORY_NAME,COLOR_NAME,SIZE,PIECE_WEIGHT,PIECE_PRICE,DOZENS_PRICE,CASE_PRICE,CASE_SIZE,INVENTORY_KEY,MILL,MSRP,FRONT_MODEL_IMAGE_URL,BACK_MODEL_IMAGE_URL,FRONT_FLAT_IMAGE_URL,BACK_FLAT_IMAGE_URL
31851,Hanes - ComfortSoft 100%  Cotton T-Shirt.  5280,5280,T-Shirts ;T-Shirts ,Black,2XL,0.6,5.62,5.62,4.62,36,3185,Hanes,9.24,https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_black_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f5/5280_black_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2012/f14/5280_Black_Flat_Front_2012.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/5280_Black_Flat_Back_2010.jpg 
31941,JERZEES SUPER SWEATS NuBlend - Crewneck Sweatshirt.  4662M,4662M,Sweatshirts/Fleece,Ash,2XL,1.35,11.08,11.08,9.08,24,3194,Jerzees,18.16,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/4662M_ash_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/4662M_ash_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f21/4662M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2016/f21/4662M_ash_flat_back.jpg 
31961,JERZEES SUPER SWEATS NuBlend - Crewneck Sweatshirt.  4662M,4662M,Sweatshirts/Fleece,Black,2XL,1.35,12.29,12.29,10.29,24,3196,Jerzees,20.58,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/4662M_black_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/4662M_black_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/4662M_Black_Flat_Front_2010.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4662M_Black_Flat_Back_2010.jpg 
31981,JERZEES SUPER SWEATS NuBlend - Crewneck Sweatshirt.  4662M,4662M,Sweatshirts/Fleece,Navy,2XL,1.35,12.29,12.29,10.29,24,3198,Jerzees,20.58,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/4662M_navy_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/4662M_navy_model_back_032017.jpg, , 
32001,JERZEES SUPER SWEATS NuBlend - Crewneck Sweatshirt.  4662M,4662M,Sweatshirts/Fleece,True Red,2XL,1.35,12.29,12.29,10.29,24,3200,Jerzees,20.58,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/4662M_truered_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/4662M_truered_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/4662M_TrueRed_Flat_Front_2010.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/4662M_TrueRed_Flat_Back_2010.jpg 
33411,Hanes EcoSmart  - Pullover Hooded Sweatshirt.  P170,P170,Sweatshirts/Fleece,White,2XL,1.47,14.77,14.77,12.77,24,3341,Hanes,,https://cdnl.sanmar.com/imglib/mresjpg/2017/f7/P170_white_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f7/P170_white_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/P170_white_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/P170_White_Flat_Back_2009.jpg 
33421,Hanes EcoSmart  - Pullover Hooded Sweatshirt.  P170,P170,Sweatshirts/Fleece,Black,2XL,1.47,15.44,15.44,13.44,24,3342,Hanes,,https://cdnl.sanmar.com/imglib/mresjpg/2017/f7/P170_black_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f7/P170_black_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/P170_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/P170_Black_Flat_Back_2009.jpg 
34582,JERZEES SUPER SWEATS NuBlend - Sweatpant with Pockets.  4850MP,4850MP,Sweatshirts/Fleece,Black,S,1.01,11.22,11.22,9.22,24,3458,Jerzees,18.44,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_black_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_black_model_back_102015.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4850MP_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f9/4850MP_black_flat_back.jpg 
34583,JERZEES SUPER SWEATS NuBlend - Sweatpant with Pockets.  4850MP,4850MP,Sweatshirts/Fleece,Black,M,1.06,11.22,11.22,9.22,24,3458,Jerzees,18.44,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_black_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_black_model_back_102015.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4850MP_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f9/4850MP_black_flat_back.jpg 
34584,JERZEES SUPER SWEATS NuBlend - Sweatpant with Pockets.  4850MP,4850MP,Sweatshirts/Fleece,Black,L,1.11,11.22,11.22,9.22,24,3458,Jerzees,18.44,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_black_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_black_model_back_102015.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4850MP_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f9/4850MP_black_flat_back.jpg 
34585,JERZEES SUPER SWEATS NuBlend - Sweatpant with Pockets.  4850MP,4850MP,Sweatshirts/Fleece,Black,XL,1.21,11.22,11.22,9.22,24,3458,Jerzees,18.44,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_black_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_black_model_back_102015.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4850MP_black_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f9/4850MP_black_flat_back.jpg 
34602,JERZEES SUPER SWEATS NuBlend - Sweatpant with Pockets.  4850MP,4850MP,Sweatshirts/Fleece,Navy,S,1.01,11.22,11.22,9.22,24,3460,Jerzees,18.44,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_navy_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_navy_model_back_102015.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4850MP_navy_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f9/4850MP_navy_flat_back.jpg 
34603,JERZEES SUPER SWEATS NuBlend - Sweatpant with Pockets.  4850MP,4850MP,Sweatshirts/Fleece,Navy,M,1.06,11.22,11.22,9.22,24,3460,Jerzees,18.44,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_navy_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_navy_model_back_102015.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4850MP_navy_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f9/4850MP_navy_flat_back.jpg 
34604,JERZEES SUPER SWEATS NuBlend - Sweatpant with Pockets.  4850MP,4850MP,Sweatshirts/Fleece,Navy,L,1.11,11.22,11.22,9.22,24,3460,Jerzees,18.44,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_navy_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_navy_model_back_102015.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4850MP_navy_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f9/4850MP_navy_flat_back.jpg 
34605,JERZEES SUPER SWEATS NuBlend - Sweatpant with Pockets.  4850MP,4850MP,Sweatshirts/Fleece,Navy,XL,1.21,11.22,11.22,9.22,24,3460,Jerzees,18.44,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_navy_model_front_102016.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f20/4850MP_navy_model_back_102015.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2016/f6/4850MP_navy_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f9/4850MP_navy_flat_back.jpg 
